type,title,parent,description,acceptance,iteration
Epic,Gestión de Usuarios y Seguridad,,,,
Feature,Autenticación,Gestión de Usuarios y Seguridad,,,
User Story,US-01 – Inicio de sesión,Autenticación,Como usuario del sistema quiero iniciar sesión para acceder a las funciones del sistema.,"El sistema solicita usuario y contraseña.
Valida credenciales.
Muestra error si son incorrectas.
Permite acceso según rol.",Sprint 1
Task,Crear entidad Usuario,US-01 – Inicio de sesión,,,Sprint 1
Task,Crear tabla usuarios,US-01 – Inicio de sesión,,,Sprint 1
Task,Crear endpoint login,US-01 – Inicio de sesión,,,Sprint 1
Task,Implementar validación de credenciales,US-01 – Inicio de sesión,,,Sprint 1
Task,Crear formulario login frontend,US-01 – Inicio de sesión,,,Sprint 1
User Story,US-02 – Gestión de roles,Autenticación,Como administrador quiero gestionar roles para controlar accesos al sistema.,"Se pueden crear roles.
Se pueden asignar roles a usuarios.
El sistema restringe accesos según rol.",Sprint 1
Task,Crear entidad Rol,US-02 – Gestión de roles,,,Sprint 1
Task,Relación Usuario-Rol,US-02 – Gestión de roles,,,Sprint 1
Task,CRUD roles,US-02 – Gestión de roles,,,Sprint 1
Task,Validación de permisos,US-02 – Gestión de roles,,,Sprint 1
Epic,Gestión de Vehículos,,,,
Feature,Administración de flotilla,Gestión de Vehículos,,,
User Story,US-03 – Registrar vehículo,Administración de flotilla,Como operador quiero registrar vehículos para administrar la flotilla disponible.,"Registrar placa.
Registrar tipo.
Registrar capacidad.
Registrar estado.",Sprint 2
Task,Crear entidad Vehiculo,US-03 – Registrar vehículo,,,Sprint 2
Task,Crear tabla Vehiculos,US-03 – Registrar vehículo,,,Sprint 2
Task,Endpoint POST vehiculos,US-03 – Registrar vehículo,,,Sprint 2
Task,Validaciones de placa única,US-03 – Registrar vehículo,,,Sprint 2
Task,Formulario frontend,US-03 – Registrar vehículo,,,Sprint 2
User Story,US-04 – Consultar vehículos,Administración de flotilla,Como usuario quiero consultar vehículos para ver su disponibilidad.,"Endpoint GET vehiculos.
Filtro por estado.
Búsqueda por placa.
Tabla frontend.",Sprint 2
Task,Endpoint GET vehiculos,US-04 – Consultar vehículos,,,Sprint 2
Task,Filtro por estado,US-04 – Consultar vehículos,,,Sprint 2
Task,Búsqueda por placa,US-04 – Consultar vehículos,,,Sprint 2
Task,Tabla frontend,US-04 – Consultar vehículos,,,Sprint 2
User Story,US-05 – Actualizar vehículo,Administración de flotilla,Como operador quiero actualizar vehículos para mantener información actualizada.,"Endpoint PUT vehiculos.
Validaciones.
Formulario edición.",Sprint 2
Task,Endpoint PUT vehiculos,US-05 – Actualizar vehículo,,,Sprint 2
Task,Validaciones,US-05 – Actualizar vehículo,,,Sprint 2
Task,Formulario edición,US-05 – Actualizar vehículo,,,Sprint 2
Epic,Gestión de Pilotos,,,,
Feature,Administración de pilotos,Gestión de Pilotos,,,
User Story,US-06 – Registrar piloto,Administración de pilotos,Como operador quiero registrar pilotos para asignarlos a viajes.,"Crear entidad Piloto.
Crear tabla pilotos.
Endpoint POST pilotos.
Validar licencia única.",Sprint 2
Task,Crear entidad Piloto,US-06 – Registrar piloto,,,Sprint 2
Task,Crear tabla pilotos,US-06 – Registrar piloto,,,Sprint 2
Task,Endpoint POST pilotos,US-06 – Registrar piloto,,,Sprint 2
Task,Validar licencia única,US-06 – Registrar piloto,,,Sprint 2
User Story,US-07 – Consultar pilotos,Administración de pilotos,Como usuario quiero consultar pilotos para ver disponibilidad.,"Endpoint GET pilotos.
Filtros.
Vista frontend.",Sprint 2
Task,Endpoint GET pilotos,US-07 – Consultar pilotos,,,Sprint 2
Task,Filtros,US-07 – Consultar pilotos,,,Sprint 2
Task,Vista frontend,US-07 – Consultar pilotos,,,Sprint 2
Epic,Gestión de Rutas,,,,
Feature,Administración de rutas,Gestión de Rutas,,,
User Story,US-08 – Registrar ruta,Administración de rutas,Como administrador quiero registrar rutas para definir trayectos.,"Crear entidad Ruta.
Crear tabla rutas.
Endpoint POST rutas.
Validar duplicados.",Sprint 3
Task,Crear entidad Ruta,US-08 – Registrar ruta,,,Sprint 3
Task,Crear tabla rutas,US-08 – Registrar ruta,,,Sprint 3
Task,Endpoint POST rutas,US-08 – Registrar ruta,,,Sprint 3
Task,Validar duplicados,US-08 – Registrar ruta,,,Sprint 3
User Story,US-09 – Consultar rutas,Administración de rutas,Como usuario quiero consultar rutas para analizar recorridos.,"Endpoint GET rutas.
Filtro origen destino.",Sprint 3
Task,Endpoint GET rutas,US-09 – Consultar rutas,,,Sprint 3
Task,Filtro origen destino,US-09 – Consultar rutas,,,Sprint 3
Epic,Gestión de Viajes,,,,
Feature,Registro de viajes,Gestión de Viajes,,,
User Story,US-10 – Crear viaje,Registro de viajes,Como operador quiero crear un viaje para gestionar transporte.,"Seleccionar vehículo.
Seleccionar piloto.
Seleccionar ruta.
Registrar hora salida.",Sprint 4
Task,Crear entidad Viaje,US-10 – Crear viaje,,,Sprint 4
Task,Crear tabla viajes,US-10 – Crear viaje,,,Sprint 4
Task,Endpoint POST viajes,US-10 – Crear viaje,,,Sprint 4
Task,Validación de datos,US-10 – Crear viaje,,,Sprint 4
Task,UI registro viaje,US-10 – Crear viaje,,,Sprint 4
User Story,US-11 – Consultar viajes,Registro de viajes,Como usuario quiero consultar viajes para monitorear la operación.,"Endpoint GET viajes.
Filtros por fecha.
Filtro por estado.
Tabla frontend.",Sprint 4
Task,Endpoint GET viajes,US-11 – Consultar viajes,,,Sprint 4
Task,Filtros por fecha,US-11 – Consultar viajes,,,Sprint 4
Task,Filtro por estado,US-11 – Consultar viajes,,,Sprint 4
Task,Tabla frontend,US-11 – Consultar viajes,,,Sprint 4
User Story,US-12 – Actualizar estado del viaje,Registro de viajes,Como operador quiero actualizar el estado del viaje para reflejar el avance operativo.,"Endpoint actualizar estado.
Control de estados.
Historial de cambios.",Sprint 5
Task,Endpoint actualizar estado,US-12 – Actualizar estado del viaje,,,Sprint 5
Task,Control de estados,US-12 – Actualizar estado del viaje,,,Sprint 5
Task,Historial de cambios,US-12 – Actualizar estado del viaje,,,Sprint 5
User Story,US-13 – Registrar llegada,Registro de viajes,Como operador quiero registrar la llegada para calcular el tiempo real del viaje.,"Endpoint registrar llegada.
Calcular tiempo real.
Validar hora llegada.",Sprint 5
Task,Endpoint registrar llegada,US-13 – Registrar llegada,,,Sprint 5
Task,Calcular tiempo real,US-13 – Registrar llegada,,,Sprint 5
Task,Validar hora llegada,US-13 – Registrar llegada,,,Sprint 5
Epic,Alertas operativas,,,,
Feature,Alertas automáticas,Alertas operativas,,,
User Story,US-14 – Alerta por retraso,Alertas automáticas,Como supervisor quiero recibir alertas de retraso para tomar decisiones.,"Comparar tiempo estimado vs real.
Crear entidad alerta.
Registrar alerta.
Mostrar alerta en dashboard.",Sprint 6
Task,Comparar tiempo estimado vs real,US-14 – Alerta por retraso,,,Sprint 6
Task,Crear entidad alerta,US-14 – Alerta por retraso,,,Sprint 6
Task,Registrar alerta,US-14 – Alerta por retraso,,,Sprint 6
Task,Mostrar alerta en dashboard,US-14 – Alerta por retraso,,,Sprint 6
User Story,US-15 – Vehículos inactivos,Alertas automáticas,Como supervisor quiero identificar vehículos inactivos para mejorar la utilización de la flotilla.,"Consulta vehículos sin viajes.
Mostrar reporte.",Sprint 6
Task,Consulta vehículos sin viajes,US-15 – Vehículos inactivos,,,Sprint 6
Task,Mostrar reporte,US-15 – Vehículos inactivos,,,Sprint 6
Epic,Dashboard operativo,,,,
Feature,Indicadores,Dashboard operativo,,,
User Story,US-16 – Dashboard principal,Indicadores,Como gerente operativo quiero ver el dashboard principal para monitorear KPIs.,"Endpoint KPIs.
Viajes del día.
Viajes finalizados.
Viajes retrasados.
Vehículos activos.",Sprint 7
Task,Endpoint KPIs,US-16 – Dashboard principal,,,Sprint 7
Task,Viajes del día,US-16 – Dashboard principal,,,Sprint 7
Task,Viajes finalizados,US-16 – Dashboard principal,,,Sprint 7
Task,Viajes retrasados,US-16 – Dashboard principal,,,Sprint 7
Task,Vehículos activos,US-16 – Dashboard principal,,,Sprint 7
User Story,US-17 – Indicador cumplimiento rutas,Indicadores,Como supervisor quiero ver el indicador de cumplimiento para evaluar eficiencia operativa.,"Calcular cumplimiento.
Endpoint reporte.
Gráfica frontend.",Sprint 7
Task,Calcular cumplimiento,US-17 – Indicador cumplimiento rutas,,,Sprint 7
Task,Endpoint reporte,US-17 – Indicador cumplimiento rutas,,,Sprint 7
Task,Gráfica frontend,US-17 – Indicador cumplimiento rutas,,,Sprint 7
Epic,Reportería,,,,
Feature,Reportes operativos,Reportería,,,
User Story,US-18 – Reporte de viajes,Reportes operativos,Como supervisor quiero generar reportes de viajes para analizar la operación.,"Endpoint reporte.
Filtros.
Exportación CSV.",Sprint 8
Task,Endpoint reporte,US-18 – Reporte de viajes,,,Sprint 8
Task,Filtros,US-18 – Reporte de viajes,,,Sprint 8
Task,Exportación CSV,US-18 – Reporte de viajes,,,Sprint 8
User Story,US-19 – Reporte de retrasos,Reportes operativos,Como gerente quiero consultar reportes de retrasos para identificar causas recurrentes.,"Consulta viajes retrasados.
Filtro fechas.",Sprint 8
Task,Consulta viajes retrasados,US-19 – Reporte de retrasos,,,Sprint 8
Task,Filtro fechas,US-19 – Reporte de retrasos,,,Sprint 8
Epic,Auditoría,,,,
Feature,Bitácora del sistema,Auditoría,,,
User Story,US-20 – Registro de acciones,Bitácora del sistema,Como administrador quiero auditar acciones del sistema para tener trazabilidad.,"Crear entidad auditoria.
Registrar acciones.
Consulta auditoría.",Sprint 9
Task,Crear entidad auditoria,US-20 – Registro de acciones,,,Sprint 9
Task,Registrar acciones,US-20 – Registro de acciones,,,Sprint 9
Task,Consulta auditoría,US-20 – Registro de acciones,,,Sprint 9
